Title,Price,Odometer,Transmission,Engine
2012 Toyota Landcruiser Prado GXL Auto 4x4,"$32,500* ","249,482 km",Automatic,6cyl 4.0L Petrol
2021 Mazda MX-30 E35 Astina DR Series Auto,"$69,977 ",,AC107kW,Electric (range: 224 km)
2015 BMW X5 sDrive25d F15 Auto,"$49,000* ","121,000 km",Automatic,4cyl 2.0L Turbo Diesel
2021 MG ZST Excite Auto MY21,"$28,888* ","6,584 km",Automatic,3cyl 1.3L Turbo Petrol
2018 Land Rover Range Rover Velar D300 R-Dynamic HSE Auto AWD MY18,"$112,000* ","50,000 km",Automatic,6cyl 3.0L Turbo Diesel
2016 Lexus RX RX350 F Sport Auto 4x4,"$58,990* ","67,037 km",Automatic,6cyl 3.5L Petrol
2018 Toyota RAV4 GXL Auto 2WD,"$41,800* ","23,228 km",Automatic,4cyl 2.0L Petrol
2021 Renault Captur Intens Auto,"$41,222 ",,Automatic,4cyl 1.3L Turbo Petrol
2018 Audi Q2 35 TFSI design Auto MY19,"$39,990* ","31,238 km",Automatic,4cyl 1.4L Turbo Petrol
2018 Lexus RX RX350 Crafted Edition Auto 4x4,"$72,000* ","29,082 km",Automatic,6cyl 3.5L Petrol
2019 Toyota Kluger Black Edition Auto 2WD,"$59,999* ","26,442 km",Automatic,6cyl 3.5L Petrol
2016 Toyota RAV4 GX Auto AWD,"$28,500* ","76,000 km",Automatic,4cyl 2.5L Petrol
2015 Mazda CX-5 Grand Touring KE Series 2 Auto AWD,"$28,000* ","99,412 km",Automatic,4cyl 2.5L Petrol
2020 Toyota Landcruiser VX Auto 4x4,"$132,000* ","33,000 km",Automatic,8cyl 4.5L Turbo Diesel
2012 Toyota RAV4 CV Manual 4x2 MY12,"$16,789* ","106,250 km",Manual,4cyl 2.4L Petrol
2015 Subaru Forester 2.5i-L S4 Auto AWD MY15,"$27,990* ","86,723 km",Automatic,4cyl 2.5L Petrol
2019 Toyota Fortuner GXL Auto 4x4,"$53,888* ","15,219 km",Automatic,4cyl 2.8L Turbo Diesel
2019 Toyota RAV4 Edge Auto AWD,"$50,000* ","22,900 km",Automatic,4cyl 2.5L Petrol
2016 Land Rover Range Rover Evoque TD4 150 SE Auto 4x4 MY16.5,"$43,900* ","89,000 km",Automatic,4cyl 2.0L Turbo Diesel
2012 Suzuki Grand Vitara Sport Auto 4x4 MY13,"$19,555* ","94,388 km",Automatic,4cyl 2.4L Petrol
2021 BMW X3 xDrive30i M Sport G01 Auto 4x4,"$94,900 ","1,846 km",Automatic,4cyl 2.0L Turbo Petrol
2003 Nissan Patrol ST GU III Manual 4x4 MY03,"$31,000* ","244,351 km",Manual,4cyl 3.0L Turbo Diesel
2021 Toyota RAV4 Cruiser Auto eFour,"$59,600* ","10,061 km",Automatic,2.5i/163kW Hybrid
2017 Land Rover Discovery Sport TD4 150 SE Auto 4x4 MY17,"$41,000* ","86,990 km",Automatic,4cyl 2.0L Turbo Diesel
2016 BMW X5 xDrive30d F15 Auto 4x4,"$70,000 ","49,295 km",Automatic,6cyl 3.0L Turbo Diesel
2020 Mazda CX-30 G25 Touring DM Series Auto,"$38,888* ","11,517 km",Automatic,4cyl 2.5L Petrol
2020 Kia Seltos Sport+ Auto 2WD MY20,"$32,990* ","21,435 km",Automatic,4cyl 2.0L Petrol
2016 Holden Captiva Active CG Auto 2WD MY16,"$18,555* ","91,519 km",Automatic,4cyl 2.4L Petrol
2021 Audi Q5 40 TDI S Line Auto quattro ultra MY21,"$83,880* ","6,341 km",Automatic,4cyl 2.0L Turbo Diesel
2011 Toyota Landcruiser Workmate Troopcarrier Manual 4x4 MY10,"$69,000* ","95,000 km",Manual,8cyl 4.5L Turbo Diesel
2015 Mazda CX-5 Grand Touring KE Series 2 Auto AWD,"$29,900* ","67,379 km",Automatic,4cyl 2.5L Petrol
2019 Lexus RX RX450h F Sport Auto 4x4,"$87,000* ","31,000 km",Automatic,3.5i/230kW Hybrid
2020 Ford Everest Trend UA II Auto 4WD MY20.25,"$62,990* ","8,416 km",Automatic,4cyl 2.0L Turbo Diesel
2018 Volkswagen Tiguan 140TDI Highline 5N Auto 4MOTION MY18,"$55,000* ","74,500 km",Automatic,4cyl 2.0L Turbo Diesel
2018 Ford Endura Trend CA Auto AWD MY19,"$30,000* ","46,863 km",Automatic,4cyl 2.0L Turbo Diesel
2018 Hyundai Tucson Go Auto 2WD MY19,"$26,800* ","54,186 km",Automatic,4cyl 2.0L Petrol
2016 Lexus NX NX200t Luxury Auto AWD,"$46,900* ","33,978 km",Automatic,4cyl 2.0L Turbo Petrol
2015 Suzuki Jimny Sierra Auto 4x4,"$27,500* ","32,400 km",Automatic,4cyl 1.3L Petrol
2015 Nissan Pathfinder ST-L R52 Auto 4WD MY15,"$25,000* ","157,186 km",Automatic,6cyl 3.5L Petrol
2018 Lexus NX NX300 F Sport Auto 2WD,"$59,000* ","32,520 km",Automatic,4cyl 2.0L Turbo Petrol
2016 Mazda CX-9 Azami TC Auto i-ACTIV AWD,"$41,800* ","74,310 km",Automatic,4cyl 2.5L Turbo Petrol
2016 Subaru Forester 2.5i-L S4 Auto AWD MY16,"$26,990* ","76,136 km",Automatic,4cyl 2.5L Petrol
2017 Nissan X-TRAIL ST-L T32 Series II Auto 2WD,"$26,550* ","37,640 km",Automatic,4cyl 2.5L Petrol
2016 Mercedes-Benz GLE-Class GLE43 AMG Auto 4MATIC,"$125,000* ","25,000 km",Automatic,6cyl 3.0L Turbo Petrol
2020 Lexus RX RX450h Sports Luxury Auto 4x4,"$109,880* ","5,893 km",Automatic,3.5i/230kW Hybrid
2012 Toyota FJ Cruiser Auto 4x4,"$45,800* ","58,199 km",Automatic,6cyl 4.0L Petrol
2018 Mercedes-Benz GLA-Class GLA180 Auto,"$38,999* ","65,000 km",Automatic,4cyl 1.6L Turbo Petrol
1990 Toyota Landcruiser Sahara Manual 4x4,"$40,000* ","570,000 km",Manual,6cyl 4.2L Turbo Diesel
2017 Mazda CX-5 Akera KE Series 2 Auto i-ACTIV AWD,"$31,999* ","91,622 km",Automatic,4cyl 2.5L Petrol
2013 Honda CR-V VTi Auto MY14,"$20,000* ","68,838 km",Automatic,4cyl 2.0L Petrol
2021 Nissan JUKE ST-L F16 Auto 2WD,"$30,990* ","6,496 km",Automatic,3cyl 1.0L Turbo Petrol
2016 Mazda CX-3 Maxx DK Manual,"$23,500* ","74,000 km",Manual,4cyl 2.0L Petrol
2019 Audi SQ5 Auto quattro MY20,"$94,888* ","21,488 km",Automatic,6cyl 3.0L Turbo Petrol
2019 Volkswagen Touareg 190TDI Launch Edition CR Auto 4MOTION MY19,"$90,000* ","27,000 km",Automatic,6cyl 3.0L Turbo Diesel
2019 Toyota Kluger GXL Auto AWD,"$52,900* ","23,082 km",Automatic,6cyl 3.5L Petrol
2021 Mazda MX-30 G20e Evolve DR Series Auto,"$37,877 ",,Automatic,4cyl 2.0L Petrol
2013 Volvo XC60 D5 R-Design Auto AWD MY13,"$19,998* ","155,000 km",Automatic,5cyl 2.4L Turbo Diesel
1991 Toyota Landcruiser GXL Auto 4x4,"$11,000* ","420,000 km",Automatic,6cyl 4.0L Petrol
2021 BMW X3 M Competition F97 Auto M xDrive,"$159,990 ","1,522 km",Automatic,6cyl 3.0L Turbo Petrol
2019 Audi Q5 50 TDI sport Auto quattro MY19,"$73,789* ","49,052 km",Automatic,6cyl 3.0L Turbo Diesel
2014 Jeep Cherokee Longitude Auto 4x4,"$23,990* ","40,041 km",Automatic,6cyl 3.2L Petrol
2018 Suzuki Vitara RT-S Auto 2WD,"$26,990* ","21,733 km",Automatic,4cyl 1.6L Petrol
2021 BMW X3 xDrive30i M Sport G01 Auto 4x4,"$89,888 ","4,334 km",Automatic,4cyl 2.0L Turbo Petrol
2021 Mazda CX-30 G25 Touring DM Series Auto,"$42,077 ",,Automatic,4cyl 2.5L Petrol
2021 BMW X4 M40i G02 Auto 4x4,"$139,900 ",61 km,Automatic,6cyl 3.0L Turbo Petrol
2012 Toyota Landcruiser Prado Altitude Auto 4x4,"$43,000* ","166,500 km",Automatic,4cyl 3.0L Turbo Diesel
2014 Toyota Landcruiser Prado VX Auto 4x4 MY14,"$54,500* ","101,000 km",Automatic,4cyl 3.0L Turbo Diesel
2021 Toyota Landcruiser Sahara Auto 4x4,"$175,000* ","10,000 km",Automatic,8cyl 4.5L Turbo Diesel
2021 Mercedes-Benz GLC-Class GLC300 Auto 4MATIC,"$103,890 ","13,104 km",Automatic,4cyl 2.0L Turbo Petrol
2017 Mercedes-Benz GLE-Class GLE350 d Auto 4MATIC,"$69,500* ","96,273 km",Automatic,6cyl 3.0L Turbo Diesel
2021 SKODA Karoq 110TSI Auto FWD MY21,"$45,260 ",500 km,Automatic,4cyl 1.4L Turbo Petrol
2020 Mazda CX-5 Touring KF Series Auto i-ACTIV AWD,"$41,999* ","30,381 km",Automatic,4cyl 2.2L Turbo Diesel
2019 Lexus NX NX300 F Sport Auto 2WD,"$58,850* ","25,167 km",Automatic,4cyl 2.0L Turbo Petrol
